source,target,weight,start,end
E075,E082,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E075,E083,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E075,E084,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E075,E088,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E075,E089,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E075,E090,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E075,E091,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E075,E092,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E076,E077,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E076,E082,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E076,E083,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E076,E084,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E077,E082,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E077,E083,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E077,E084,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E080,E081,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E082,E083,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E082,E084,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E083,E084,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E088,E089,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E088,E090,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E088,E091,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E088,E092,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E089,E090,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E089,E091,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E089,E092,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E090,E091,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E090,E092,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E091,E092,1,1886-10-04T00:00:00,1886-10-04T00:00:00
